index	SequenceA	SequenceB
7220	M22010.1_2934-3006	V00676.1_23-88
7221	AF127584.1_98-171	X52392.1_6280-6355
7222	AC002341.3_6810-6881	K01749.1_2878-2958
7223	AF047724.1_439-367	AF347015.1_12139-12207
7224	V01272.1_2790-2861	X16886.1_781-711
7225	AF008220.1_5430-5502	S64977.1_800-870
7226	X52392.1_16775-16708	AE003437.3_282636-282708
7227	K00242.1_1-75	D12694.1_2745-2677
7228	M10217.1_5909-5841	X04465.1_38367-38438
7229	X66437.1_1-83	D31785.1_714-785
7230	X02167.1_345-416	X03715.1_589-662
7231	M26977.1_635-708	L23320.1_77-10
7232	L36887.1_1748-1820	Y18934.1_3868-3797
7233	X04465.1_90332-90261	X16886.1_999-1070
7234	X17658.1_140-72	M11464.1_1-72
7235	M37162.1_1211-1282	X54552.1_66-137
7236	AE005611.1_1749-1821	J04815.1_1231-1299
7237	X02173.1_152-223	AP000397.1_130600-130527
7238	AF200831.1_165-97	X04465.1_120306-120235
7239	M10217.1_13781-13846	AF233324.1_37223-37296
7240	X15090.1_41-114	M68929.1_1540-1461
7241	X15118.1_1470-1542	X01738.1_122-190
7242	AF069749.1_1422-1494	K00634.1_531-596
7243	Z74387.1_1846-1765	AF034440.1_1115-1181
7244	AF026213.1_13358-13277	M86496.1_1024-1089
7245	AC067849.6_4771-4840	U67492.1_3051-3122
7246	X07922.1_12-85	Y00125.1_116-196
7247	M22650.1_459-527	M20958.1_1-80
7248	M32222.1_3110-3183	M16909.1_81-161
7249	U67517.1_7202-7276	L07095.1_4950-5016
7250	M16869.1_80-166	X14848.1_5139-5066
7251	X55514.2_4047-4119	J01470.1_315-386
7252	X16885.1_553-488	X12890.1_2055-2127
7253	X62453.1_1-74	X55514.2_4416-4343
7254	D13102.1_342-269	M93388.1_1318-1384
7255	X04465.1_120306-120235	X59573.1_314-396
7256	K01921.1_234-307	AB042524.1_5257-5192
7257	X52392.1_16177-16108	X03154.1_401-474
7258	J01436.1_1456-1522	AL138651.1_64525-64597
7259	D17540.1_1-73	X03240.1_1267-1333
7260	X05395.1_365-438	J04815.1_1812-1884
7261	M86498.1_1026-1092	X02437.1_274-344
7262	M86494.1_1026-1092	D11467.1_1-72
7263	AF347015.1_1604-1672	M21373.1_131-204
7264	X04465.1_36787-36715	J01390.1_6669-6740
7265	X05914.1_238-170	K00354.1_1-74
7266	X66440.1_1-74	X00916.1_1018-1091
7267	D12695.1_203-134	M22764.1_167-240
7268	X04465.1_57877-57950	V00676.1_400-335
7269	M37162.1_1211-1282	X52392.1_6506-6434
7270	M25321.1_478-410	X04465.1_90332-90261
7271	AJ400907.1_3795-3861	AL589879.21_171955-172027
7272	M10217.1_11905-11973	K01553.1_1-73
7273	AE005314.1_4287-4216	M68929.1_152677-152605
7274	AF142677.4_47045-46960	X13975.1_791-854
7275	M22656.1_587-656	X13246.1_151-233
7276	X12631.1_2088-2158	X57045.1_288-359
7277	AF493542.1_2517-2451	D00550.1_152-232
7278	D10745.1_410-483	X02167.1_268-340
7279	X15602.1_102-172	X05071.1_204-288
7280	M27315.1_1347-1280	AL356957.27_121645-121572
7281	D10368.1_338-405	X60981.1_3898-3969
7282	AF047724.1_439-367	X52392.1_9016-9083
7283	J01435.1_4494-4561	X03499.1_37-110
7284	AF016404.1_2636-2555	AF041468.1_40566-40494
7285	AE006696.1_291-218	X16886.1_1355-1286
7286	AJ012132.1_54-126	M22563.1_71-141
7287	AL355149.13_15278-15208	D31785.1_832-903
7288	AC008443.10_43006-42934	J04815.1_1-73
7289	X04465.1_64788-64715	M22656.1_459-528
7290	X03924.1_17-83	X02217.1_416-488
7291	M86501.1_1-68	AE008731.1_705-777
7292	AC084609.1_20256-20184	AB009835.1_1-71
7293	L36887.1_4635-4707	M22010.1_3034-3106
7294	X03715.1_288-361	X93334.1_6942-7009
7295	D10744.1_201-272	M86501.1_1024-1090
7296	D16387.1_276-206	X61698.1_1470-1542
7297	M86493.1_1025-1091	J01390.1_11933-12004
7298	D12695.1_435-369	X54552.1_167-241
7299	AF347001.1_16015-15948	AC008443.10_8240-8321
7300	AF340025.1_630-698	X15613.1_1252-1313
7301	AF200837.1_6039-6103	L07095.1_2676-2750
7302	AL021918.1_54817-54736	X03240.1_1-65
7303	X55514.2_3882-3954	X03154.1_608-697
7304	AL132798.2_14445-14516	K00369.1_1-82
7305	X03715.1_779-868	X52070.1_699-771
7306	AC004941.2_32735-32806	X70810.2_2089-2011
7307	AJ400848.1_50859-50931	AC093311.2_140036-139968
7308	D00552.1_73-146	AJ271079.2_19772-19686
7309	X13824.1_2-83	M19493.1_340-412
7310	AF008220.1_7053-7140	X52070.1_777-849
7311	M57698.1_294-367	X52392.1_3967-4040
7312	X06054.1_711-637	D00558.1_58-130
7313	AE008727.1_5966-5885	AC008443.10_38881-38809
7314	AE008799.1_19388-19461	X01017.1_487-417
7315	Z82044.1_16031-16103	X12631.1_1567-1497
7316	AF314016.1_365-435	AF467991.1_42-125
7317	M10217.1_5909-5841	AC008670.6_83725-83795
7318	M25659.1_553-621	AC009742.4_51767-51839
7319	U18917.1_50408-50336	X62800.1_3583-3669
7320	X86563.2_119998-119925	J01533.1_143-72
7321	D10743.1_4-73	X00432.1_665-732
7322	X07379.1_305-375	X12631.1_1014-1084
7323	Z82044.1_15843-15924	D31785.1_14571-14644
7324	AC008670.6_83597-83665	D12695.1_368-304
7325	X16643.1_820-900	AF076356.1_60-128
7326	M35060.1_1-72	X99772.1_7842-7915
7327	X06428.1_229-300	M20954.1_1-74
7328	AF490529.1_11834-11766	M10217.1_4724-4798
7329	X03126.1_364-434	X16885.1_460-388
7330	AL590385.23_26129-26058	X51398.1_2-75
7331	X05394.1_580-653	V00680.1_447-380
7332	AF041468.1_43811-43739	X04821.1_1-73
7333	X03848.1_3091-3164	D16387.1_11909-11838
7334	X13975.1_2575-2637	X51423.1_1802-1874
7335	X07950.1_1-81	AF346992.1_15890-15955
7336	AJ235316.1_1023-1090	AB035923.1_6106-6178
7337	AJ270287.1_567-495	X03715.1_926-998
7338	AB042524.1_9391-9458	D85268.1_459-527
7339	AF200830.1_9887-9951	AF037042.2_2935-2864
7340	AL021808.2_65570-65498	J01390.1_12505-12576
7341	D13107.1_530-459	X02173.1_441-512
7342	Y18934.1_3868-3797	M22010.1_2624-2705
7343	AJ404228.1_1559-1631	X16885.1_811-882
7344	AF158101.6_72456-72373	AB042809.1_5159-5089
7345	X15901.1_99287-99217	X16885.1_779-708
7346	AJ271079.2_114727-114656	M10217.1_5910-5978
7347	X12631.1_3132-3200	X70810.2_60996-61067
7348	K02974.1_529-600	V00334.1_358-430
7349	J01435.1_2804-2867	X54300.1_29-102
7350	X02173.1_152-223	D12694.1_2745-2677
7351	AP000442.6_2022-1950	X03924.1_500-567
7352	X53649.1_495-566	L36887.1_1748-1820
7353	D85275.1_459-527	AE000043.2_9006-8935
7354	AF164586.1_93-158	M86495.1_1026-1092
7355	M68929.1_163972-163902	AB042432.1_14140-14072
7356	X07375.1_305-376	J01390.1_6449-6519
7357	AB049357.1_1-68	X54299.1_1793-1866
7358	AF164586.1_1190-1126	J01390.1_6035-6106
7359	X14822.1_1-73	AF074839.1_52-124
7360	AB035922.1_6128-6200	J04815.1_2041-2109
7361	AF008220.1_7169-7240	AC009323.4_12825-12742
7362	X52969.1_525-607	X17660.1_1002-1069
7363	X02172.1_247-319	V00654.1_4197-4265
7364	X70810.2_30807-30878	AE005546.1_4076-3993
7365	D16387.1_11555-11625	AB013372.1_8-81
7366	D38114.1_11560-11628	AE003556.3_16759-16677
7367	M68929.1_48611-48684	AF347005.1_12268-12338
7368	X13888.1_63-151	X12631.1_1795-1866
7369	J01395.1_2878-2951	M16863.1_577-660
7370	J01390.1_11761-11831	J01390.1_12417-12498
7371	AL590385.23_26487-26416	D85271.1_587-657
7372	AL021918.1_94597-94678	X52392.1_13000-13070
7373	X14821.1_1-72	AF008220.1_6443-6516
7374	U50045.1_216-145	U67517.1_7511-7582
7375	V00654.1_12038-12108	Z49705.1_23030-22957
7376	D16387.1_11325-11257	AB031213.1_2678-2748
7377	K00368.1_1-82	V01556.1_306-238
7378	D16387.1_11397-11328	M19493.1_263-336
7379	X57593.1_241-312	X02173.1_617-699
7380	D00547.1_242-315	X15901.1_105074-105153
7381	J01390.1_11859-11931	X03240.1_6071-6134
7382	L07095.1_5327-5261	X12631.1_1207-1274
7383	X01647.1_2451-2378	J01435.1_55-120
7384	M10217.1_16246-16178	AF186372.1_596-669
7385	X52392.1_5172-5102	X61068.1_651-734
7386	X16765.1_1-73	D16387.1_11403-11471
7387	AB067577.1_1615-1688	X13558.1_186-115
7388	AF200843.1_1266-1331	K00144.1_1-72
7389	X52392.1_5025-5096	X61067.1_133-205
7390	AJ400848.1_26718-26788	X00704.1_131-202
7391	X04815.1_1-81	X03715.1_589-662
7392	AF346999.1_4402-4331	AE005414.1_2810-2738
7393	AE008848.1_725-797	M55314.1_21-92
7394	Z74797.1_2502-2432	AF491005.1_5436-5355
7395	X52392.1_5172-5240	AL590457.2_15409-15481
7396	X01016.1_450-523	Z71616.1_3983-4056
7397	AF401668.1_481-552	X12631.1_1944-2014
7398	X69067.1_6022-6086	X05914.1_400-337
7399	X72895.1_1-72	AF276832.1_1449-1514
7400	J04815.1_1371-1301	X61068.1_560-632
7401	AF155162.1_115-49	X15613.1_124-189
7402	X07924.1_110-197	J01390.1_6861-6932
7403	M16897.1_160-88	X14848.1_1-67
7404	K00242.1_1-75	AE005466.1_5965-6036
7405	X52392.1_6430-6362	V00675.1_586-656
7406	M37162.1_1557-1488	X69098.1_1-73
7407	X16745.1_1-74	X04512.1_2563-2632
7408	AB031215.1_9125-9195	D85289.1_459-527
7409	X52392.1_16039-16107	M57910.1_1028-963
7410	K01727.1_129-57	D00554.1_73-143
7411	AL132988.4_95773-95841	M20968.1_1-73
7412	K00228.1_1-82	X03924.1_848-782
7413	M68929.1_36559-36632	AJ428514.1_3834-3899
7414	X13975.1_39-104	K00462.1_57-128
7415	K01981.1_82-168	X57046.1_341-271
7416	D38115.1_11583-11651	M58320.1_108-194
7417	J01390.1_12259-12330	X57046.1_121-203
7418	J01395.1_3006-3078	M26978.1_1192-1264
7419	J00642.1_462-533	V00158.1_276-361
7420	X60981.1_3261-3348	AF047723.1_4036-4107
7421	M26977.1_379-453	AP003004.2_222291-222372
7422	M86497.1_1020-1086	M68929.1_18311-18382
7423	U33007.1_60769-60697	X61068.1_1060-1145
7424	X01676.1_804-877	J04815.1_1662-1729
7425	X03715.1_171-243	AE003727.3_195539-195611
7426	K01749.1_2878-2958	X03016.1_4539-4610
7427	X12977.1_221-293	X16754.1_1-86
7428	J04815.1_3159-3231	M17309.1_99-171
7429	J04815.1_10228-10159	AE005611.1_1614-1687
7430	X02173.1_54-135	AE005611.1_1749-1821
7431	X55033.1_412-483	AJ011856.1_70824-70908
7432	U67528.1_1221-1293	K01390.1_620-691
7433	M15347.1_1040-968	M16479.1_42-123
7434	X66414.1_9-82	X16748.1_1-73
7435	Z82044.1_16317-16387	L29771.1_1004-1071
7436	M26096.1_1-72	X12889.1_644-572
7437	AE005245.1_4818-4747	M22657.1_587-656
7438	AL671879.2_100356-100285	M86499.1_1-68
7439	M23363.1_611-683	AB001488.1_62222-62293
7440	M58306.1_1-72	X15508.1_140-211
7441	X57045.1_606-678	AF200837.1_5597-5661
7442	X12631.1_2020-2087	AC009395.7_99012-98941
7443	X16886.1_999-1070	X12977.1_94-167
7444	AE004843.1_4972-4900	X52392.1_1228-1297
7445	AF493541.1_2418-2346	X02205.1_471-542
7446	M13046.1_2222-2289	J01390.1_5955-6026
7447	X61063.1_119-188	X15768.1_134-207
7448	AC099014.1_146549-146620	AE008886.1_9662-9735
7449	X52392.1_8258-8184	AF234285.1_261-333
7450	X55026.1_20537-20608	X54408.1_1-73
7451	X01078.1_1396-1463	X04465.1_38367-38438
7452	M86495.1_1-68	M68929.1_50694-50622
7453	X02167.1_345-416	M21373.1_208-280
7454	X16885.1_1019-953	J04815.1_1026-1098
7455	Z36079.1_181-110	AJ428514.1_11535-11602
7456	X16888.1_869-940	X00239.1_111-183
7457	M20960.1_1-74	J01390.1_6234-6306
7458	X69660.1_114-186	X53649.1_160-231
7459	X99772.1_5062-5131	AC084429.5_20418-20485
7460	J04815.1_11997-12064	AE004294.1_4314-4241
7461	Z11880.1_281-353	X54552.1_66-137
7462	AF449163.1_604-532	AF490529.1_3010-2943
7463	AF381996.1_4265-4333	M86493.1_1-68
7464	X04465.1_50998-51070	X16886.1_993-924
7465	X16886.1_458-387	X16885.1_1030-1101
7466	AF067200.1_16-89	X16886.1_923-857
7467	AC093098.2_67389-67475	X67736.1_4837-4923
7468	M93388.1_1185-1251	AF166114.1_53704-53775
7469	AF396436.1_528-448	J01404.1_5140-5204
7470	M20951.1_1-71	K02003.1_1-74
7471	AL133551.13_12355-12436	V00654.1_11907-11976
7472	AL031229.2_40502-40430	AE005414.1_2595-2512
7473	M10217.1_9797-9871	X04465.1_36643-36562
7474	AE008839.1_18078-18008	X00916.1_933-1007
7475	Y14522.1_1-81	X13975.1_858-928
7476	X02584.1_1-77	X15768.1_211-283
7477	AC009323.4_14362-14281	M20952.1_1-71
7478	V00677.1_264-332	X17113.1_351-433
7479	M68929.1_20078-20150	U46121.1_66-138
7480	D11467.1_6989-6916	M86496.1_1-68
7481	AF185056.1_845-774	X12631.1_939-1009
7482	M68929.1_186579-186500	AC002512.1_77401-77473
7483	AL596271.1_1843-1770	AE005527.1_84-156
7484	M10217.1_9038-9106	AF091512.1_37281-37352
7485	X07377.1_52-124	X59582.1_477-558
7486	X61068.1_880-953	X02173.1_256-326
7487	X15245.1_588-660	AJ243756.1_1-71
7488	AY012114.1_954-1022	M10217.1_2136-2204
7489	X54421.1_15747-15819	AC122544.1_63069-62986
7490	X52392.1_6573-6508	AC009461.5_128651-128579
7491	AB049357.1_11673-11743	AY017179.1_1528-1601
7492	X59566.1_318-390	M26978.1_1092-1174
7493	X16767.1_1-73	X02444.1_95-15
7494	AJ400848.1_74-1	X66594.1_101-182
7495	X15613.1_1106-1175	X04779.1_1-73
7496	AE000930.1_11782-11855	X04161.1_733-803
7497	X12631.1_8405-8475	X61061.1_74-147
7498	AF349769.2_1315-1395	M10217.1_7394-7325
7499	U15659.1_246-176	X16759.1_1-73
7500	J01435.1_6776-6846	M20959.1_1-72
7501	Z11874.1_40212-40285	AB042240.3_82974-82901
7502	AC008443.10_42590-42518	X05395.1_122-195
7503	AF347015.1_5827-5762	X00446.1_283-210
7504	AP000989.1_73279-73354	M16450.1_142-214
7505	D31785.1_12211-12283	AF382005.1_581-651
7506	K02456.1_141-212	K00202.1_1-71
7507	X70810.2_30968-31041	J05395.1_2325-2252
7508	Z00044.1_50240-50312	AE003677.3_170128-170056
7509	J01390.1_12028-12098	X03715.1_1004-1077
7510	M86500.1_1-68	J00881.1_210-282
7511	L36887.1_650-721	X52392.1_11128-11195
7512	AE008868.1_12130-12057	X12975.1_234-306
7513	K00281.1_1-72	AF134583.1_1599-1666
7514	AB013373.1_3754-3825	AB042432.1_6942-7011
7515	L36895.1_3467-3537	AE005497.1_10137-10064
7516	AF314016.1_506-436	M25321.1_113-184
7517	M10217.1_7015-7083	D85289.1_587-657
7518	X15613.1_1813-1875	X03240.1_1388-1326
7519	AF200831.1_165-97	X03925.1_1-72
7520	AC005783.1_27398-27326	M10217.1_13781-13846
7521	M20947.1_1-74	AB042432.1_3845-3913
7522	X61067.1_334-415	M34508.1_318-404
7523	X04465.1_48845-48932	J01399.1_2867-2939
7524	M32222.1_1277-1363	AB042809.1_7700-7764
7525	D00547.1_329-401	AE005658.1_7176-7257
7526	AB066098.1_1687-1760	X12977.1_317-399
7527	X15901.1_44438-44524	Z11884.1_254-326
7528	M18050.1_100-172	M68929.1_165481-165397
7529	AJ400848.1_34280-34188	X05915.1_238-170
7530	M68929.1_32684-32756	AF347015.1_5892-5827
7531	M91385.1_1291-1381	X65556.1_351-423
7532	X54421.1_14314-14385	AF487242.1_558-475
7533	AE008996.1_2003-1920	M17129.1_151-222
7534	X00916.1_1570-1644	X61068.1_760-831
7535	X66520.1_7-88	M23767.1_162-241
7536	X03154.1_489-562	D12694.1_2533-2604
7537	V00238.1_262-333	X02172.1_155-228
7538	X02205.1_562-633	X16763.1_1-89
7539	X15917.1_6364-6435	V00695.1_3453-3525
7540	D17510.1_119065-118992	AL009179.1_106037-106108
7541	X55514.2_3696-3624	X16887.1_553-487
7542	AB042240.3_84552-84472	AL163195.5_3702-3774
7543	AE008857.1_222-150	X04465.1_3679-3758
7544	AC002341.3_6810-6881	AE008710.1_84-156
7545	M22655.1_587-657	AE004386.1_8370-8441
7546	D17791.1_52-123	AE005128.1_6659-6734
7547	M20966.1_1-88	U51030.1_22201-22130
7548	X17318.1_109-39	AC006635.2_21711-21640
7549	AE003494.3_240865-240793	X16885.1_950-882
7550	M31489.1_112-183	X60981.1_3446-3518
7551	M58319.1_196-282	AL023288.2_21768-21839
7552	M68929.1_41917-41989	X56006.1_1-72
7553	M16864.1_642-714	M68929.1_79397-79315
7554	X12631.1_11945-12013	M24578.1_1373-1445
7555	M11464.1_1-72	AE008874.1_15640-15730
7556	AB027572.1_4261-4342	X86563.2_66129-66056
7557	AF008220.1_6888-6961	L28677.1_8809-8880
7558	X55320.1_1-72	X53443.1_135-206
7559	X99772.1_5441-5375	X16590.1_277-349
7560	M74160.1_2030-2100	AF233324.1_37223-37296
7561	AC008443.10_9027-8955	X13247.1_151-237
7562	AJ400848.1_45575-45503	X55339.1_30-104
7563	L36889.1_130-201	AF071855.1_254-326
7564	X52392.1_2273-2345	V00654.1_15791-15726
7565	X03715.1_667-740	X66437.1_1-83
7566	M27315.1_3787-3850	X55514.2_4257-4189
7567	M20972.1_1-72	X02168.1_63-135
7568	U67528.1_1042-969	X16888.1_864-793
7569	AF493541.1_7070-7138	M18050.1_352-424
7570	K02322.1_59-130	X00764.1_173-244
7571	X13485.1_5-77	X58792.1_174-245
7572	K02229.1_1-83	X70810.2_102843-102771
7573	V00676.1_23-88	AE003538.3_103715-103786
7574	X56005.1_1-73	AC084571.1_17976-18047
7575	M20948.1_1-71	X58913.1_1046-981
7576	AE005629.1_7274-7346	X68198.1_9818-9745
7577	U22383.1_8197-8124	K02232.1_1-72
7578	X66438.1_1-72	M14092.1_414-480
7579	M10217.1_5770-5840	M68929.1_166929-166856
7580	X04163.1_219-289	M16843.1_2824-2752
7581	X66439.1_1-73	AL352978.6_119697-119770
7582	K00205.1_1-72	M68929.1_182805-182734
7583	X14848.1_3684-3752	X00476.1_1-85
7584	M16863.1_456-385	U18916.2_60498-60427
7585	M86497.1_1-66	M86499.1_1022-1088
7586	U67538.1_10143-10207	D38114.1_11688-11758
7587	V00711.1_3842-3772	X00181.1_495-582
7588	Z35950.1_5070-5141	X87209.1_183-268
7589	J01390.1_12177-12258	AF108356.1_1-74
7590	D00548.1_191-271	X03126.1_244-324
7591	M87833.1_2781-2865	AE003624.2_69897-69824
7592	L07095.1_15292-15358	J00309.1_356-427
7593	X99772.1_9544-9611	U67492.1_3149-3223
7594	AF008220.1_6172-6245	M18744.1_76-164
7595	AC008345.4_147881-147810	M26978.1_994-1068
7596	X02173.1_718-802	X17661.1_419-487
7597	X01017.1_116-189	M68929.1_186481-186410
7598	AB017063.1_58819-58900	X61068.1_1189-1262
7599	AB031211.1_8065-8137	X15613.1_59-121
7600	X16752.1_1-74	AE009855.1_3683-3767
7601	K01941.1_217-303	X12631.1_1775-1706
7602	AJ002222.1_720-791	X70810.2_31388-31317
7603	X74126.1_2430-2501	X07462.1_14-87
7604	M20942.1_1-73	M26977.1_557-628
7605	AL590385.23_27782-27864	M20945.1_1-72
7606	AE008788.1_15048-14962	X70810.2_102754-102683
7607	M21542.1_51-134	AJ400848.1_29178-29105
7608	AL021918.1_81116-81197	X17658.1_140-72
7609	M68929.1_15170-15243	AF004309.1_87-160
7610	M28270.1_1-73	X16401.1_1-69
7611	M20964.1_1-88	AJ296990.1_141-209
7612	M16450.1_308-380	X16885.1_635-704
7613	X03715.1_481-553	X00229.1_1945-2016
7614	AE005234.1_8154-8227	AC018638.5_4694-4623
7615	X61067.1_232-303	Y00430.1_2429-2358
7616	AF158101.6_72364-72294	AF382013.1_10403-10467
7617	AE008762.1_276-203	AE008837.1_3449-3522
7618	M68929.1_174348-174275	K01637.1_819-890
7619	AL162971.1_11752-11825	X73425.1_2369-2440
7620	X55523.1_17-90	M68929.1_79613-79540
7621	X16750.1_2-74	J01440.1_394-465
7622	AC084153.1_28467-28538	U39708.1_2300-2229
7623	AF490528.1_1519-1448	X07395.1_103-176
7624	X12890.1_1972-2045	K00235.1_1-85
7625	U25144.1_1062-991	X00892.1_1-74
7626	X12977.1_475-548	X81069.1_365-436
7627	U32309.1_158-89	X59571.1_319-390
7628	AC068900.3_7333-7404	AF314018.1_1820-1748
7629	K00287.1_1-73	D10368.1_1439-1508
7630	M20949.1_1-72	X03154.1_801-875
7631	X53444.1_72-144	AF217350.1_265-194
7632	M16912.1_86-157	AE005245.1_5142-5071
7633	AF047724.1_711-640	J04815.1_1231-1299
7634	X02173.1_522-593	M68929.1_39446-39374
7635	X80245.1_11535-11604	X05394.1_803-733
7636	Z71311.1_286-214	Y10943.1_948-1016
7637	AJ223323.1_613-684	AF490528.1_4630-4697
7638	X16885.1_631-561	X05914.1_238-306
7639	X04160.1_116-188	X12631.1_1426-1497
7640	J04815.1_952-1020	M68929.1_17407-17480
7641	M10217.1_11492-11561	X61368.1_228-301
7642	Z99104.2_95646-95728	X12631.1_7349-7415
7643	K00367.1_1-82	X13704.1_1807-1880
7644	AE008883.1_15399-15472	X07380.1_111-198
7645	AJ011900.1_63-136	X02172.1_74-145
7646	K01389.1_345-433	X02172.1_335-407
7647	U32694.1_2454-2526	D89936.1_1231-1150
7648	X66375.1_99-169	X03016.1_3583-3669
7649	L02941.1_716-643	X16746.1_1-72
7650	M17309.1_774-846	X61065.1_77-164
7651	Z99104.2_165829-165901	M18672.1_347-431
7652	Z11880.1_124-195	AF008220.1_5629-5712
7653	AC009323.4_42522-42441	AF008220.1_5322-5394
7654	M16839.1_41-111	X51824.1_190-272
7655	X62566.1_248-320	M10217.1_7325-7260
7656	X56506.1_61-144	X51824.1_381-453
7657	M18050.1_273-344	X03676.1_445-516
7658	AJ400848.1_29803-29731	Z54587.1_126-45
7659	K03079.1_135-206	M20957.1_1-85
7660	J04815.1_1592-1523	X57045.1_503-432
7661	X04163.1_59-131	K00344.1_1-73
7662	J01391.1_18-88	X00706.1_129-200
7663	AE003471.3_169154-169225	AC108081.2_59868-59786
7664	AC006449.19_196857-196784	X14848.1_3820-3750
7665	AL391016.1_2459-2530	X15245.1_160-231
7666	AP000423.1_76-4	X03154.1_723-795
7667	V00160.1_1137-1054	X02205.1_368-453
7668	M10671.1_1-72	AF125213.1_1282-1213
7669	AE000043.2_9216-9133	X07925.1_53-125
7670	L13782.1_442-515	K00434.1_154-84
7671	AJ271079.2_59828-59899	AC024877.2_101525-101454
7672	X52739.1_1-72	X04465.1_29596-29669
7673	AE004866.1_8982-8910	X61068.1_1281-1353
7674	D12694.1_2607-2676	AB003409.1_96-167
7675	X54421.1_14394-14476	AE005629.1_6992-7073
7676	M81884.1_42594-42515	X02205.1_746-816
7677	X14835.1_6927-7002	X03715.1_1086-1158
7678	AC024995.8_165717-165798	X03602.1_660-731
7679	AL161496.2_172002-171930	X03126.1_162-234
7680	AB042240.3_15036-15107	AJ400848.1_44024-44110
7681	X01120.1_76-149	X66443.1_1-72
7682	X12631.1_10184-10115	M16333.1_1-74
7683	X16888.1_178-111	AC005329.1_7043-6971
7684	J04815.1_1953-1885	V01556.1_1456-1523
7685	X61068.1_961-1034	AP000397.1_114390-114319
7686	AP002983.1_121-48	J01373.1_73-144
7687	AB042240.3_36390-36319	X14848.1_2654-2728
7688	AF083212.1_212-284	X15901.1_15784-15867
7689	X66594.1_1984-2065	AF008220.1_6713-6785
7690	J04815.1_1966-2036	Y00163.1_254-326
7691	X16758.1_1-74	X99772.1_5276-5204
7692	X51471.1_6754-6681	X61068.1_393-465
7693	X12631.1_1347-1277	X05693.1_1054-1126
7694	X12631.1_1937-1868	X53392.1_97-170
7695	X53649.1_604-676	X70810.2_100844-100773
7696	X03715.1_388-461	AL662865.4_12206-12135
7697	AE009773.1_7700-7629	X04761.1_963-892
7698	M10217.1_17388-17457	M16907.1_208-137
7699	X99772.1_11841-11913	AF160864.1_14524-14453
7700	X15245.1_236-309	X55342.1_30-101
7701	L36887.1_4319-4391	K00570.1_851-921
7702	AE000043.2_8839-8769	K02528.1_1-74
7703	AF070678.1_91-163	M81884.1_41401-41330
7704	L00194.1_554-627	V00678.1_193-264
7705	X16888.1_255-184	AB042240.3_6758-6687
7706	AF052653.1_130-203	M57527.1_1-70
7707	X51551.1_101-172	AE005470.1_8444-8372
7708	X15245.1_512-584	K00174.1_1-68
7709	L36887.1_3769-3839	L35909.1_103-174
7710	Z98744.2_66305-66234	AE008893.1_17175-17247
7711	M20969.1_1-74	Z74072.1_3173-3245
7712	J01390.1_12100-12172	M10217.1_13648-13715
7713	J01478.1_118-188	X15246.1_425-492
7714	Z28209.1_4569-4498	X04175.1_1-71
7715	X59563.1_1377-1449	D31785.1_714-785
7716	X60981.1_3182-3253	J01390.1_13362-13432
7717	U37541.1_1383-1322	Z00044.1_68888-68815
7718	M68929.1_172005-172075	X02205.1_668-740
7719	X16886.1_1215-1285	X12631.1_1570-1639
7720	AF200843.1_3014-3079	X00432.1_816-751
7721	X55514.2_4027-3957	X12631.1_1-73
7722	X17616.1_380-293	M91385.1_1205-1276
7723	M68929.1_151018-150946	X07778.1_115-45
7724	AE008829.1_931-842	M68929.1_166107-166035
7725	AC018907.5_9587-9517	X07125.1_118-191
7726	X04561.1_1-72	AF008220.1_6334-6422
7727	Z73326.1_1146-1075	X13823.1_142-214
7728	M87833.1_353-437	M91385.1_1046-1118
7729	AE008747.1_6317-6401	M26978.1_826-899
7730	M26977.1_379-453	Z82044.1_15843-15924
7731	L36887.1_4319-4391	K01389.1_345-433
7732	J04502.1_2903-2830	U67517.1_7412-7496
7733	AJ011856.1_70824-70908	M20952.1_1-71
7734	AB042524.1_5257-5192	M20957.1_1-85
7735	X59562.1_71-144	X14110.1_261-348
7736	X16885.1_460-388	AE005658.1_7176-7257
7737	X61065.1_170-242	J04815.1_7401-7469
7738	X04465.1_3679-3758	X04163.1_59-131
7739	M16450.1_142-214	D17510.1_119065-118992
7740	X58913.1_1046-981	AE005629.1_6992-7073
7741	X54552.1_167-241	AF347005.1_12268-12338
7742	X14698.1_250-321	AF347015.1_12139-12207
7743	V00675.1_586-656	X66437.1_1-83
7744	J01391.1_18-88	AE000930.1_11782-11855
7745	AE004294.1_4314-4241	X12631.1_1014-1084
7746	AF346992.1_15890-15955	X04465.1_36787-36715
7747	X12857.1_421-494	X05602.1_210-283
7748	M86498.1_1-69	X02167.1_179-251
7749	AF008220.1_5997-6070	X05226.1_35-116
7750	X12631.1_1944-2014	M26977.1_276-348
7751	X61066.1_339-412	J01390.1_6761-6842
7752	AF008220.1_6251-6324	AF396436.1_47447-47513
7753	X61064.1_63-135	L07095.1_5086-5018
7754	X01078.1_1396-1463	J01435.1_55-120
7755	U47458.1_87-21	M37162.1_1352-1420
7756	X55514.2_4187-4119	X99256.1_11558-11626
7757	J01435.1_6776-6846	AE008886.1_9662-9735
7758	J01390.1_6161-6231	AF490529.1_2769-2701
7759	X03154.1_489-562	X52392.1_6506-6434
7760	J01390.1_12028-12098	X02173.1_441-512
7761	M10217.1_7325-7260	U37541.1_1383-1322
7762	M22010.1_2934-3006	AF493542.1_6654-6722
